rowid,email,image,location,meetup,meetup_id,meetup_image,name,organizer,pro_network,twitter,website,facebook,github,external_website,external_ website,instagram,Linkedin,timepad,google_plus,timepad_id,youtube,whatsapp,new_location,latitude,longitude
1,amsterdam@pyladies.com,pyladies_amsterdam.jpeg,"{""latitude"": 52.37, ""longitude"": 4.89}",PyLadiesAMS,4663509776,https://secure.meetupstatic.com/photos/event/2/3/8/8/highres_483969096.jpeg,"Amsterdam, the Netherlands",Alyona Galyeva,Python Software Foundation Meetup Pro Network,PyLadiesAMS,amsterdam,,,,,,,,,,,,"52.37, 4.89",52.37,4.89
2,ankara@pyladies.com,pyladies_ankara.png,"{""latitude"": 39.9167, ""longitude"": 32.8333}",,,,"Ankara, Turkey",,,pyladiesankara,ankara,pyladiesankara,pyladiesankara,,,,,,,,,,"39.9167, 32.8333",39.9167,32.8333
3,tnr@pyladies.com,pyladies_tnr.png,"{""latitude"": -18.9333, ""longitude"": 47.5167}",,,,"Antananarivo, MDG",,,PyladiesMDG,tnr,,,,,,,,,,,,"-18.9333, 47.5167",-18.9333,47.5167
4,aracati@pyladies.com,pyladies-aracati.png,"{""latitude"": -4.5611543, ""longitude"": -37.7689913}",,,,"Aracati, Brazil",,,PyladiesAracati,,,,0,,,,,,,,,"-4.5611543, -37.7689913",-4.5611543,-37.7689913
5,aqp@pyladies.com,pyladies_arequipa.jpg,"{""latitude"": -16.398776, ""longitude"": -71.53687}",,,,"Arequipa, Peru",,,,,@aqp.pyladies,PyladiesAqp,,,,,,,,,,"-16.398776, -71.53687",-16.398776,-71.53687
6,atl@pyladies.com,pyladies_dc_atl_sea_tor.png,"{""latitude"": 33.7490987, ""longitude"": -84.3901849}",,4507652,,"Atlanta, GA",,,pyladiesATL,atl,,,,,,,,,,,,"33.7490987, -84.3901849",33.7490987,-84.3901849
7,atx@pyladies.com,pyladies_atx.jpeg,"{""latitude"": 30.27, ""longitude"": -97.74}",pyladies-atx,4663512976,https://secure.meetupstatic.com/photos/event/5/4/f/6/highres_437421750.jpeg,"Austin, TX",PyLadiesATX,Python Software Foundation Meetup Pro Network,pyladiesATX,atx,,,,,,,,,,,,"30.27, -97.74",30.27,-97.74
8,australia@pyladies.com,pyladies_australia.png,"{""latitude"": -24.7761086, ""longitude"": 134.755}",,,,Australia,,,pyladiesau,http://australia.pyladies.com/,pyladiesau,PyLadiesAU,,1,,,,,,,,"-24.7761086, 134.755",-24.7761086,134.755
9,pyblr@pyladies.com,pyladies_blr_logo.jpeg,"{""latitude"": 12.9791703, ""longitude"": 77.5912429}",PyLadies-Bangalore-Chapter,280657416,,"Bangalore, India",,Python Software Foundation Meetup Pro Network,pyladiesblr,,,,,,,,,,,,,"12.9791703, 77.5912429",12.9791703,77.5912429
10,bauchi@pyladies.com,pyladies_dc_atl_sea_tor.png,"{""latitude"": 10.301, ""longitude"": 9.8237}",,243646248,,"Bauchi, NG",,,pyladiesbauchi,NG,,,,,,,,,,,,"10.301, 9.8237",10.301,9.8237
11,belem@pyladies.com,pyladies_belem.jpg,"{""latitude"": -1.3410047, ""longitude"": -48.5904714}",,,,"Belem, Brazil",,,,,pyladiesbelem,,1,,,,,,,,,"-1.3410047, -48.5904714",-1.3410047,-48.5904714
12,bh@pyladies.com,pyladies-bh.png,"{""latitude"": -19.92, ""longitude"": -43.94}",PyLadies-BH-Meetup,4663509776,,"Belo Horizonte, Brazil",Roberto Novaes,,pyladiesbh,http://bh.pyladies.com,,,0,,,,,,,,,"-19.92, -43.94",-19.92,-43.94
13,berlin@pyladies.com,pyladies_berlin.png,"{""latitude"": 52.52, ""longitude"": 13.38}",PyLadies-Berlin,4663512976,https://secure.meetupstatic.com/photos/event/6/b/8/6/highres_454587526.jpeg,"Berlin, Germany",Anett G.,Python Software Foundation Meetup Pro Network,PyLadiesBer,http://berlin.pyladies.com,,,1,,,,,,,,,"52.52, 13.38",52.52,13.38
14,bbsr@pyladies.com,pyladies_logo.png,"{""latitude"": 20.2961, ""longitude"": 85.8245}",,,,"Bhubaneswar, India",,,PyladiesBbsr,bbsr,,,,,,,,,,,,"20.2961, 85.8245",20.2961,85.8245
15,blumenau@pyladies.com,pyladies-blumenau.png,"{""latitude"": -26.915415, ""longitude"": -49.072152}",,,,"Blumenau, Brazil",,,pyladiesbnu,,pyladiesbnu,pyladies-blumenau,1,,pyladies_blumenau,,,,,,,"-26.915415, -49.072152",-26.915415,-49.072152
16,boulder@pyladies.com,pyladies_colorado.png,"{""latitude"": 40.015, ""longitude"": -105.2705}",,,,"Boulder, CO",,,PyLadiesCO,,,,,,,,,,,,,"40.015, -105.2705",40.015,-105.2705
17,boston@pyladies.com,pyladies_boston_logo_2_white.png,"{""latitude"": 42.36, ""longitude"": -71.06}",PyLadies-Boston,4663509776,https://secure.meetupstatic.com/photos/event/5/f/b/6/highres_246984502.jpeg,"Boston, MA",Laura Stone,,PyLadiesBoston,http://boston.pyladies.com,,,1,,,,,,,,,"42.36, -71.06",42.36,-71.06
18,bratislava@pyladies.org,pyladies_logo.png,"{""latitude"": 48.148598, ""longitude"": 17.107748}",,,,"Bratislava, Slovakia",,,,,PyLadiesBratislava,,,,,,,,,,,"48.148598, 17.107748",48.148598,17.107748
19,brazil@pyladies.com,pyladies_brasil.png,"{""latitude"": -10.3333333, ""longitude"": -53.2}",,,,Brazil,,,PyLadiesBrazil,http://brasil.pyladies.com/,PyLadiesBrazil,pyladies-brazil,1,,,,,,,,,"-10.3333333, -53.2",-10.3333333,-53.2
20,brisbane@pyladies.com,BPLlogo.png,"{""latitude"": -27.46, ""longitude"": 153.02}",BrisbanePyLadies,4663512976,https://secure.meetupstatic.com/photos/event/5/6/e/f/highres_483622255.jpeg,"Brisbane, Australia",Brisbane PyLadies,Python Software Foundation Meetup Pro Network,PyLadiesBNE,,,BrisbanePyLadies,,,,PyLadies Brisbane,,,,,,"-27.46, 153.02",-27.46,153.02
21,brno@pyladies.com,pyladies_sd_brno.png,"{""latitude"": 50.08, ""longitude"": 14.43}",pyladiescz,4663509776,https://secure.meetupstatic.com/photos/event/5/7/4/4/highres_470902340.jpeg,"Brno, Czech Republic",,,pyladiesCZ,cz,,,,,,,,,,,,"50.08, 14.43",50.08,14.43
22,calgary@pyladies.com,pyladies_calgary.png,"{""latitude"": 51.04, ""longitude"": -114.06}",,,,"Calgary, Alberta, Canada",,,PyladiesCalgary,,,pyladiescalgary,0,,,,,,,,,"51.04, -114.06",51.04,-114.06
23,campinas@pyladies.com,pyladies_campinas.png,"{""latitude"": -22.909992, ""longitude"": -47.063006}",,,,"Campinas, Brazil",,,pyladiescps,http://brasil.pyladies.com,pyladiescps,pyladiescps,1,,,,,,,,,"-22.909992, -47.063006",-22.909992,-47.063006
24,tr@pyladies.com,pyladies_dc_atl_sea_tor.png,"{""latitude"": 39.9167, ""longitude"": 32.8333}",,,,"Canakkale, Turkey",,,PyladiesTurkey,tr,,,,,,,,,,,,"39.9167, 32.8333",39.9167,32.8333
25,caxiasdosul@pyladies.com,pyladies_caxiasdosul.jpg,"{""latitude"": -29.16806, ""longitude"": -51.17944}",PyLadiesCaxiasdoSul,,,"Caxias do Sul, Brazil",,,,http://caxiasdosul.pyladies.com,pyladiescaxias,PyladiesCaxias,1,,,,,,,,,"-29.16806, -51.17944",-29.16806,-51.17944
26,mx@pyladies.com,pyladies_cdmx.png,"{""latitude"": 19.43, ""longitude"": -99.14}",Mexico-City-Pyladies-Meetup,4663512976,,"CDMX, M&eacute;xico",Erika,,MxPyladies,mx,,,,,,,,,,,,"19.43, -99.14",19.43,-99.14
27,chn@pyladies.com,pyladies_chennai.png,"{""latitude"": 13.09, ""longitude"": 80.27}",pyladieschennai,4663509776,https://secure.meetupstatic.com/photos/event/9/9/9/1/highres_478479313.jpeg,"Chennai, India",PyLadies Chennai,Python Software Foundation Meetup Pro Network,pyladieschennai,,pyladiesofchennai,pyladieschennai,,,,,,,,,,"13.09, 80.27",13.09,80.27
28,charleston@pyladies.com,pyladies_charleston.png,"{""latitude"": 32.7876012, ""longitude"": -79.9402728}",PyLadies-Charleston,8401402,,"Charleston, SC",,,PyLadiesCHS,http://charleston.pyladies.com,,,1,,,,,,,,,"32.7876012, -79.9402728",32.7876012,-79.9402728
29,chicago@pyladies.com,pyladies_chicago.png,"{""latitude"": 41.88, ""longitude"": -87.63}",Chicago-PyLadies,4663512976,https://secure.meetupstatic.com/photos/event/2/a/a/3/highres_452110915.jpeg,"Chicago, IL",Lorena Mesa,Python Software Foundation Meetup Pro Network,PyLadiesChicago,http://chicago.pyladies.com,,,1,,,,,,,,,"41.88, -87.63",41.88,-87.63
30,cle@pyladies.com,,"{""latitude"": 41.49, ""longitude"": -81.67}",CLE-PyLadies,4663509776,https://secure.meetupstatic.com/photos/event/e/2/9/5/highres_471598005.jpeg,"Cleveland, OH",Cleveland PyLadies,Python Software Foundation Meetup Pro Network,CLEPyLadies,https://clepyladies.github.io/pyladies-official,CLEPyLadies,,1,,CLEPyLadies,,,,,,,"41.49, -81.67",41.49,-81.67
31,cochabamba@pyladies.com,pyladies_cochabamba.png,"{""latitude"": -17.41403, ""longitude"": -66.17727}",,,,"Cochabamba, Bolivia",,,pyladiescbba,cochabamba,pyladiescbba,pyladiesCochabamba,,,,,,,,,,"-17.41403, -66.17727",-17.41403,-66.17727
32,curitiba@pyladies.com,pyladies-curitiba.png,"{""latitude"": -25.4167, ""longitude"": -49.25}",,,,"Curitiba, Brazil",,,pyladiescuritib,http://brasil.pyladies.com/,PyLadiesCuritiba,pyladies-curitiba,1,,,,,,,,,"-25.4167, -49.25",-25.4167,-49.25
33,dfw@pyladies.com,pyladies_dc_atl_sea_tor.png,"{""latitude"": 32.7776162, ""longitude"": -96.7970585}",,2292131,,"Dallas, TX",,,pyladiesdallas,dallas,,,,,,,,,,,,"32.7776162, -96.7970585",32.7776162,-96.7970585
34,denver@pyladies.com,pyladies_colorado.png,"{""latitude"": 39.7392, ""longitude"": -104.9903}",,,,"Denver, CO",,,PyLadiesDEN,,,,,,,,,,,,,"39.7392, -104.9903",39.7392,-104.9903
35,df@pyladies.com,pyladies_df.png,"{""latitude"": -15.7941454, ""longitude"": -47.8825479}",,,,"DF - Distrito Federal, Brazil",,,pyladiesdf,http://df.pyladies.com,pyladiesdf,pyladiesdf,1,,,,,,,,,"-15.7941454, -47.8825479",-15.7941454,-47.8825479
36,doboj@pyladies.com,pyladies_doboj.png,"{""latitude"": 44.731389, ""longitude"": 18.084444}",,281140334,,"Doboj, BiH",,,PyLadiesDoboj,http://doboj.pyladies.com/,pyladiesdobojbih,,1,,,,,,,,,"44.731389, 18.084444",44.731389,18.084444
37,dublin@pyladies.com,pyladies-dublin.png,"{""latitude"": 53.33, ""longitude"": -6.25}",PyLadiesDublin,4663512976,https://secure.meetupstatic.com/photos/event/3/6/3/9/highres_488953881.jpeg,"Dublin, Ireland",Vicky Twomey-Lee,Python Software Foundation Meetup Pro Network,pyladiesdub,dublin,,,,,,,,,,,,"53.33, -6.25",53.33,-6.25
38,duquedecaxias@pyladies.com,pyladies_dc_atl_sea_tor.png,"{""latitude"": -22.6433502, ""longitude"": -43.4457786}",,,,"Duque de Caxias, RJ",,,PyLadiesCaxias,http://duquedecaxias.pyladies.com/,PyLadiesDuqueDeCaxias,pyladies-dcaxias,1,,,,,,,,,"-22.6433502, -43.4457786",-22.6433502,-43.4457786
39,edinburgh@pyladies.com,pyladies_edinburgh_logo2.png,"{""latitude"": 55.95, ""longitude"": -3.2}",PyLadiesEdinburgh,4663509776,https://secure.meetupstatic.com/photos/event/8/3/2/4/highres_392493572.jpeg,"Edinburgh, Scotland",Becky Smith,Python Software Foundation Meetup Pro Network,PyLadiesEdin,edinburgh,,,,,,,,,,,,"55.95, -3.2",55.95,-3.2
40,addisa@pyladies.com,pyladies-addis.png,"{""latitude"": 9.005401, ""longitude"": 38.763611}",,,,"Ethiopia, Addis Ababa",,,,,,https://github.com/PyladiesAddis,,,,,,,,,,"9.005401, 38.763611",9.005401,38.763611
41,freiburg@pyladies.com,,"{""latitude"": 47.997791, ""longitude"": 7.842609}",,,,"Freiburg, Germany",Hema,,,,,PyLadies-Freiburg,,,,,,,,,,"47.997791, 7.842609",47.997791,7.842609
42,ghana@pyladies.com,pyladies_ghana.jpg,"{""latitude"": 6.946527, ""longitude"": -1.023194}",,,,Ghana,,,PyladiesGhana,https://ghana.pyladies.com,,PyladiesGhana,1,,,,,,,,,"6.946527, -1.023194",6.946527,-1.023194
43,grandrapids@pyladies.com,pyladies_grandrapids.png,"{""latitude"": 42.96, ""longitude"": -85.66}",PyLadiesGrandRapids,4663512976,https://secure.meetupstatic.com/photos/event/3/b/7/highres_466800951.jpeg,"Grand Rapids, MI",Rachell,Python Software Foundation Meetup Pro Network,PyladiesGR,http://grandrapids.pyladies.com,pyladiesgrandrapids,,1,,,,,,,,,"42.96, -85.66",42.96,-85.66
44,gtu@pyladies.com,pyladies-sq-logo.png,"{""latitude"": 23.253627, ""longitude"": 72.6338228}",,,,"Gujarat, India",,,PyladiesGTU,gtu.ac.in,,,,,,,,,,,,"23.253627, 72.6338228",23.253627,72.6338228
45,hamburg@pyladies.com,pyladies_hamburg.png,"{""latitude"": 53.55, ""longitude"": 10.0}",PyLadies-Hamburg,4663509776,https://secure.meetupstatic.com/photos/event/8/f/a/9/highres_471636777.jpeg,"Hamburg, Germany",Hamburg PyLadies,Python Software Foundation Meetup Pro Network,PyLadiesHH,http://hamburg.pyladies.com,,,1,,,,,,,,,"53.55, 10.0",53.55,10.0
46,helsinki@pyladies.com,pyladies_helsinki.png,"{""latitude"": 60.17, ""longitude"": 24.94}",Helsinki-Pyladies,4663512976,https://secure.meetupstatic.com/photos/event/7/9/0/6/highres_252930982.jpeg,"Helsinki, Finland",Elena Oat,Python Software Foundation Meetup Pro Network,,helsinki,,,,,,,,,,,,"60.17, 24.94",60.17,24.94
47,hcmc@pyladies.com,,"{""latitude"": 10.776889, ""longitude"": 106.700806}",,248903240,,"Ho Chi Minh, Vietnam",,,pyladies1,,PyladiesHCM,,,,,,,,,,,"10.776889, 106.700806",10.776889,106.700806
48,hermosillo@pyladies.com,pyladies-hermosillo.jpeg,"{""latitude"": 29.09, ""longitude"": -110.95}",PyLadiesHMO,,,"Hermosillo, M&eacute;xico",Pyladies Hermosillo,Python Software Foundation Meetup Pro Network,PyLadiesHMO,https://hermosillo.pyladies.com,pyladiesHMO,PyladiesHermosillo,,,,,,,,,,"29.09, -110.95",29.09,-110.95
49,Houston.pyladies@gmail.com,pylady_geek.png,"{""latitude"": 29.77, ""longitude"": -95.4}",Houston_PyLadies,4663509776,,"Houston, TX",Lesly,Python Software Foundation Meetup Pro Network,HPyladies,,,,,,,,,,,,,"29.77, -95.4",29.77,-95.4
50,pyladies@openlabs.co.in,pyladies_in.png,"{""latitude"": 28.67, ""longitude"": 77.21}",PyladiesIndia,4663512976,https://secure.meetupstatic.com/photos/event/1/8/6/2/highres_371586242.jpeg,India,Rituparna,,PyladiesIndia,,,,,,,,,,,,,"28.67, 77.21",28.67,77.21
